acteurs,date,desciption,durée,genre,nbr_eposodes,nbr_saison,nbr_votants,score,titre_original
"David Attenborough,Gordon Buchanan,Chadden Hunter",2016,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,298,Documentary,6,,149K,9.5,Planet Earth II
"Bob Kane,Eric Radomski,Bruce Timm",1992–1995,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23,"Animation,Action,Adventure",85,4 seasons,108K,9.0,Batman: The Animated Series
"Peter Coyote,Huy Duc,James Willbanks",2017,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,990,"Documentary,History,War",10,,26K,9.1,The Vietnam War
"David McCormack,Melanie Zanetti,Rico Romaniuk",2018– ,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7,"Animation,Family",169,3 seasons,15K,9.5,Bluey
"Stevie Nicks,Bono,Tom Petty",2017,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.",60,"Documentary,Biography,Crime",4,,15K,8.5,The Defiant Ones
"Paul Hollywood,Mary Berry,Prue Leith",2010– ,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,60,"Game-Show,Reality-TV",167,13 seasons,11K,8.6,The Great British Baking Show
"Dylan Moran,Bill Bailey,Tamsin Greig",2000–2004,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",25,Comedy,18,3 seasons,60K,8.5,Black Books
"Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya",2005–2021,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",25,"Animation,Action,Comedy",375,8 seasons,13K,8.7,Gintama
"Michael Kitchen,Honeysuckle Weeks,Anthony Howell",2002–2015,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",90,"Crime,Drama,Mystery",28,8 seasons,17K,8.6,Foyle's War
"André Holland,Clive Owen,Jeremy Bobb",2014–2015,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,58,"Drama,History",21,3 seasons,50K,8.5,The Knick
"Reese Witherspoon,Nicole Kidman,Shailene Woodley",2017–2019,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,60,"Crime,Drama,Mystery",14,2 seasons,208K,8.5,Big Little Lies
"Michael Cudlitz,Shawn Hatosy,Regina King",2009–2013,The lives of Police Officers working for the Los Angeles Police Department.,42,"Crime,Drama,Thriller",43,5 seasons,28K,8.5,Southland
"Natsuki Hanae,Risa Taneda,Ayane Sakura",2014–2018,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,23,"Animation,Comedy,Drama",24,3 years,32K,8.6,Your Lie in April
"Alfred Hitchcock,Harry Tyler,John Williams",1955–1962,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",25,"Comedy,Crime,Drama",268,7 seasons,18K,8.5,Alfred Hitchcock Presents
"Riz Ahmed,John Turturro,Bill Camp",2016,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.",525,"Crime,Drama,Mystery",8,,158K,8.5,The Night Of
"James Rolfe,Mike Matei,Kyle Rogers",2004– ,A foul-mouthed nerd reviews bad video games.,35,Comedy,248,17 seasons,15K,8.5,The Angry Video Game Nerd
"Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill",2018–2022,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,30,Comedy,19,3 seasons,48K,8.5,Derry Girls
"Alexander Skarsgård,James Ransone,Lee Tergesen",2008,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",70,"Drama,War",7,,56K,8.5,Generation Kill
"Kate Atkinson,Katrina Milosevic,Robbie Magasiva",2013–2021,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,45,"Crime,Drama,Thriller",100,9 seasons,23K,8.6,Wentworth
"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace",2018– ,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,60,Drama,25,4 seasons,16K,8.6,My Brilliant Friend
"Bill Buford,Massimo Bottura,Francis Mallmann",2015–2019,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",50,Documentary,30,6 seasons,16K,8.5,Chef's Table
"Ralph Macchio,William Zabka,Courtney Henggeler",2018–2023,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",30,"Action,Comedy,Drama",51,6 seasons,192K,8.5,Cobra Kai
"Junya Enoki,Adam McArthur,Yûichi Nakamura",2020– ,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,24,"Animation,Action,Adventure",25,2 seasons,70K,8.5,Jujutsu Kaisen
"Joel McHale,Danny Pudi,Donald Glover",2009–2015,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,Comedy,110,6 seasons,275K,8.5,Community
"Daniel Abraham,Mark Fergus,Ty Franck",2015–2022,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",60,"Drama,Mystery,Sci-Fi",62,6 seasons,160K,8.5,The Expanse
"J.G. Quintel,William Salyers,Sam Marin",2009–2017,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,23,"Animation,Action,Adventure",245,8 seasons,49K,8.5,Regular Show
"Serban Pavlu,Maria Obretin,Andreea Vasile",2014–2019,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.",45,"Crime,Drama,Thriller",21,3 seasons,11K,8.7,Umbre
"Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas",2013–2015,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,44,"Crime,Drama,Horror",39,3 seasons,261K,8.5,Hannibal
"Eugene Levy,Catherine O'Hara,Dan Levy",2015–2020,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",22,Comedy,80,6 seasons,128K,8.5,Schitt's Creek
"Sarah Lancashire,Siobhan Finneran,James Norton",2014–2023,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,58,"Crime,Drama,Thriller",18,3 seasons,54K,8.5,Happy Valley
"Mayo Suzukaze,Junko Iwao,Nozomu Sasaki",1999,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",118,"Animation,Action,Adventure",4,,15K,8.6,Rurouni Kenshin: Trust and Betrayal
"Tom Hanks,Nick Searcy,Lane Smith",1998,Dramatized portrayal of the Apollo manned space program.,60,"Action,Drama,History",12,,13K,8.6,From the Earth to the Moon
"Billy West,John DiMaggio,Katey Sagal",1999–2023,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",22,"Animation,Adventure,Comedy",150,11 seasons,244K,8.5,Futurama
"John Hannah,Manu Bennett,Peter Mensah",2011,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",331,"Action,Adventure,Biography",6,,140K,8.5,Spartacus: Gods of the Arena
"Thomas Middleditch,T.J. Miller,Josh Brener",2014–2019,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",28,Comedy,53,6 seasons,155K,8.5,Silicon Valley
"Vic Mignogna,Aaron Dismuke,Romi Park",2003–2004,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.",24,"Animation,Action,Adventure",51,4 years,73K,8.5,Fullmetal Alchemist
"Scott Ryan,Chika Yasumura,Justin Rosniak",2018–2021,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",30,"Crime,Drama",26,3 seasons,21K,8.6,Mr Inbetween
"Jodie Whittaker,Peter Capaldi,Pearl Mackie",2005– ,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,45,"Adventure,Drama,Sci-Fi",203,14 seasons,230K,8.6,Doctor Who
"Kyle MacLachlan,Sheryl Lee,Michael Horse",2017,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,60,"Crime,Drama,Horror",18,,70K,8.5,Twin Peaks
"Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch",2015–2017,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",30,"Drama,Romance",43,4 seasons,36K,8.6,Skam
"Evan Rachel Wood,Jeffrey Wright,Ed Harris",2016–2022,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",62,"Drama,Mystery,Sci-Fi",36,4 seasons,514K,8.5,Westworld
"Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith",2004,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",235,"Drama,Romance",4,,33K,8.6,North & South
"John Paul Tremblay,Robb Wells,Mike Smith",2001–2018,Three petty felons have a documentary made about their life in a trailer park.,30,"Comedy,Crime",106,12 seasons,46K,8.6,Trailer Park Boys
"Christopher Morris,Mark Heap,Kevin Eldon",1997–2001,"Controversal spoof of current affairs television, and the role of celebrity in the UK.",25,Comedy,7,2 seasons,11K,8.6,Brass Eye
"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi",1995–1996,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,24,"Animation,Action,Drama",26,4 years,75K,8.5,Neon Genesis Evangelion
"Park Eun-bin,Kang Tae-oh,Kang Ki-young",2022,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",75,Drama,16,,19K,8.7,Extraordinary Attorney Woo
"Charlie Hunnam,Katey Sagal,Mark Boone Junior",2008–2014,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,"Crime,Drama,Thriller",92,7 seasons,305K,8.6,Sons of Anarchy
"Mackenzie Crook,Toby Jones,Rachael Stirling",2014–2022,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",30,Comedy,20,3 seasons,17K,8.6,Detectorists
"Emmy Rossum,William H. Macy,Ethan Cutkosky",2011–2021,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,"Comedy,Drama",134,11 seasons,252K,8.6,Shameless
"Shaun Evans,Roger Allam,James Bradshaw",2012–2023,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",89,"Crime,Drama,Mystery",36,9 seasons,29K,8.6,Endeavour
"Andy Whitfield,Lucy Lawless,Manu Bennett",2010–2013,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,"Action,Adventure,Biography",34,3 seasons,247K,8.5,Spartacus
"Setsuo Ito,Takahiro Sakurai,Chris Niosi",2016–2022,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24,"Animation,Action,Comedy",37,3 seasons,37K,8.6,Mob Psycho 100
"Kenan Imirzalioglu,Cansu Dere,Yigit Özsener",2009–2011,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",90,"Crime,Drama,Thriller",71,2 seasons,34K,8.7,Ezel
"Phil LaMarr,Mako,Kevin Michael Richardson",2001–2017,"A samurai, sent through time, fights to return home and save the world.",25,"Animation,Action,Adventure",62,5 seasons,56K,8.5,Samurai Jack
"Jared Keeso,Nathan Dales,Michelle Mylett",2016– ,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",30,Comedy,75,12 seasons,25K,8.7,Letterkenny
"Morgan Freeman,Sean Carroll,Michio Kaku",2010–2017,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ..., ,Read all",60,Documentary,62,8 seasons,18K,8.6,Through the Wormhole
"Drew Carey,Colin Mochrie,Ryan Stiles",1998–2007,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,30,"Comedy,Game-Show",220,8 seasons,45K,8.5,Whose Line Is It Anyway?
"Ricky Gervais,Martin Freeman,Mackenzie Crook",2001–2003,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,30,"Comedy,Drama",14,3 seasons,117K,8.5,The Office
"Nathan Fielder,Journey Baker,Anna Lamadrid",2022– ,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,30,"Documentary,Comedy",7,2 seasons,21K,8.6,The Rehearsal
"Louis C.K.,Hadley Delany,Ursula Parker",2010–2015,"The life of Louie C.K., a divorced comedian living in New York with two kids.",22,"Comedy,Drama",61,5 seasons,80K,8.5,Louie
"Steve Coogan,Simon Greenall,Felicity Montagu",1997–2002,"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",29,Comedy,12,2 seasons,21K,8.6,I'm Alan Partridge
"Rami Malek,Christian Slater,Carly Chaikin",2015–2019,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",49,"Crime,Drama,Thriller",45,4 seasons,397K,8.5,Mr. Robot
"Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani",2019– ,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",45,"Action,Comedy,Drama",20,3 seasons,90K,8.7,The Family Man
